L.p.,Identyfikator,Nr działki,Jednostka ewidencyjna,Obręb,Powierzchnia ewidencyjna,Klasoużytki,Adres,Granica sporna?,Teren zamknięty?,Rejestr zabytków,Zmodyfikował(a)
1,220502_4.0001.129,129,Kartuzy - M,1,0.9225,dr 0.0165; N 0.9060,,Nie,Nie,360 (1971-02-20),DANE OSOBOWE
2,220502_4.0001.84/4,84/4,Kartuzy - M,1,0.0085,Bp-RIVb 0.0085,ul. Bohaterów Westerplatte 44,Nie,Nie,,DANE OSOBOWE
3,220502_4.0001.143,143,Kartuzy - M,1,0.0424,RIVb 0.0424,ul. Bohaterów Westerplatte 25,Nie,Nie,,DANE OSOBOWE
4,220502_4.0001.97,97,Kartuzy - M,1,0.0442,B 0.0442,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
5,220502_4.0001.13,13,Kartuzy - M,1,0.3451,PsIV 0.3451,,Nie,Nie,,DANE OSOBOWE
6,220502_4.0001.14/7,14/7,Kartuzy - M,1,0.1796,ŁV 0.1796,ul. Zagórze 13,Nie,Nie,,DANE OSOBOWE
7,220502_4.0001.14/11,14/11,Kartuzy - M,1,0.0753,ŁV 0.0753,ul. Zagórze 8,Nie,Nie,,DANE OSOBOWE
8,220502_4.0001.14/12,14/12,Kartuzy - M,1,0.0738,ŁV 0.0738,ul. Zagórze 10,Nie,Nie,,DANE OSOBOWE
9,220502_4.0001.14/19,14/19,Kartuzy - M,1,0.0948,ŁV 0.0948,ul. Zagórze 15,Nie,Nie,,DANE OSOBOWE
10,220502_4.0001.63,63,Kartuzy - M,1,0.013,RIVb 0.0130,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
11,220502_4.0001.76/5,76/5,Kartuzy - M,1,0.0336,dr 0.0336,,Nie,Nie,,DANE OSOBOWE
12,220502_4.0001.76/6,76/6,Kartuzy - M,1,0.1306,PsIV 0.1306,ul. Prokowska 17,Nie,Nie,,DANE OSOBOWE
13,220502_4.0001.131,131,Kartuzy - M,1,0.6712,RIVb 0.6712,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
14,220502_4.0001.106,106,Kartuzy - M,1,0.0095,dr 0.0095,,Nie,Nie,,DANE OSOBOWE
15,220502_4.0001.77/1,77/1,Kartuzy - M,1,0.17,dr 0.17,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
16,220502_4.0001.12/1,12/1,Kartuzy - M,1,0.0783,dr 0.0783,,Nie,Nie,,DANE OSOBOWE
17,220502_4.0001.12/24,12/24,Kartuzy - M,1,0.0215,dr 0.0215,,Nie,Nie,,DANE OSOBOWE
18,220502_4.0001.12/25,12/25,Kartuzy - M,1,0.0017,dr 0.0017,,Nie,Nie,,DANE OSOBOWE
19,220502_4.0001.12/26,12/26,Kartuzy - M,1,0.0114,dr 0.0114,,Nie,Nie,,DANE OSOBOWE
20,220502_4.0001.12/41,12/41,Kartuzy - M,1,0.0441,dr 0.0441,,Nie,Nie,,DANE OSOBOWE
21,220502_4.0001.12/45,12/45,Kartuzy - M,1,0.0331,dr 0.0331,,Nie,Nie,,DANE OSOBOWE
22,220502_4.0001.12/46,12/46,Kartuzy - M,1,0.2346,dr 0.2346,,Nie,Nie,,DANE OSOBOWE
23,220502_4.0001.70/3,70/3,Kartuzy - M,1,0.0161,dr 0.0161,,Nie,Nie,,DANE OSOBOWE
24,220502_4.0001.7/50,7/50,Kartuzy - M,1,0.0004,dr 0.0004,,Nie,Nie,,DANE OSOBOWE
25,220502_4.0001.7/51,7/51,Kartuzy - M,1,0.0036,dr 0.0036,,Nie,Nie,,DANE OSOBOWE
26,220502_4.0001.78/7,78/7,Kartuzy - M,1,0.0074,dr 0.0074,,Nie,Nie,,DANE OSOBOWE
27,220502_4.0001.104,104,Kartuzy - M,1,0.0049,dr 0.0049,,Nie,Nie,,DANE OSOBOWE
28,220502_4.0001.14/16,14/16,Kartuzy - M,1,0.112,ŁV 0.1120,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
29,220502_4.0001.174,174,Kartuzy - M,1,0.0407,B 0.0407,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
30,220502_4.0001.141/1,141/1,Kartuzy - M,1,0.0069,Bp 0.0069,,Nie,Nie,,DANE OSOBOWE
31,220502_4.0001.16/1,16/1,Kartuzy - M,1,0.1014,dr 0.1014,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
32,220502_4.0001.153,153,Kartuzy - M,1,0.0444,B 0.0444,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
33,220502_4.0001.14/9,14/9,Kartuzy - M,1,0.0659,ŁIV 0.0659,ul. Zagórze 4,Nie,Nie,,DANE OSOBOWE
34,220502_4.0001.14/8,14/8,Kartuzy - M,1,0.0315,ŁV 0.0315,,Nie,Nie,,DANE OSOBOWE
35,220502_4.0001.74/4,74/4,Kartuzy - M,1,0.0398,Bp-PsIV 0.0398,ul. Prokowska 13,Nie,Nie,,DANE OSOBOWE
36,220502_4.0001.15/2,15/2,Kartuzy - M,1,0.0043,B 0.0043,ul. Wzgórze Wolności 22,Nie,Nie,,DANE OSOBOWE
37,220502_4.0001.68/9,68/9,Kartuzy - M,1,0.0304,Bp-RIVb 0.0304,ul. Gdyńskich Kosynierów 9,Nie,Nie,,DANE OSOBOWE
